NTT,Faisal,LMS,tbl_CounterpartyChild2,/,/,/,"Model 6
Key: Parent_Function_Record_Id 
*get only top 1 record order by Record_Id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CounterpartyClass,/,/,/,"Model 1,
Key: counterparty_class_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CounterpartyType,/,/,/,"Model 1,
Key: counterparty_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_Country,/,/,/,"Model 1,
Key: country_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_CountryOfResidentDeclaration,/,/,/,"Model 1,
Key: country_of_resident_declaration_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_DayCountConvention,/,/,/,"Model 1,
Key: day_count_convention_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_EInvoiceIndicator,/,/,/,"Model 1,
Key: e_invoice_indicator_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_EmploymentStatus,/,/,/,"Model 1,
Key: employment_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_entity,/,/,/,"Model 1,
Key: entity_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_Facility,/,/,/,"Model 1,
Key: facility_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_FacilityFacilityStatus,/,/,/,"Model 1,
Key: account_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",com.t_lmskibb2_tbl_facility,einv-acc;einv-cust,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_FacilityStatus,/,/,/,"Model 1,
Key: facility_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",com.t_lmskibb2_tbl_facility,einv-acc;einv-cust,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_FacilityType,/,/,/,"Model 1,
Key: facility_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",com.t_lmskibb2_tbl_facility,einv-acc;einv-cust,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_HolidayDueDateHandling,/,/,/,"Model 1,
Key: holiday_due_date_handling_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_IdentityType,/,/,/,"Model 1,
Key: identity_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,einv-acc;einv-cust;ailab-lms,einv-1a-3,NTT,,
NTT,Faisal,LMS,tbl_InterestAnnuityMode,/,/,/,"Model 1,
Key: interest_annuity_mode_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,other,other-1a-2,NTT,,
NTT,Faisal,LMS,tbl_loanpositioncache_new,/,/,/,"Model 4
Key: loan_tranche_id, as_of_date
Partition: year_month (as_of_date in YYYYMM)",,,,,,"RAW: All (Prod)
COM_T: All from COM_T, select top 1 partition by LOAN_TRANCHE_ID, AS_OF_DATE order by etl_dt desc",,ailab-lms,ailab-1a,NTT,,
NTT,Aiqal,LMS,tbl_loanstatus,/,/,/,"Model 1
Key: loan_status_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,ailab-lms,ailab-1a,NTT,,
NTT,Faisal,LMS,tbl_loantranche,/,/,/,"Model 3
Key: loan_tranche_id",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,ailab-lms,ailab-1a,NTT,,
NTT,Faisal,LMS,tbl_loantranchechild2,/,/,/,"Model 6
Key: parent_function_record_id",,,,,,"RAW: All (Prod)
COM_T: COM_T where etl_dt = <last available date>",,ailab-lms,ailab-1a,NTT,,
NTT,Aiqal,LMS,tbl_loantranchetype,/,/,/,"Model 1
Key: loan_tranche_type_id",,,,,,"RAW: N/A
COM_T: COM_T where etl_dt = <last available date>",,ailab-lms,ailab-1a,NTT,,
