NTT,CK,Data Lake - CUR,"REF_CUSTOMER_ID_MAPPING_RAK
*to move to COM layer, rename to m_customer_id_mapping_rak",,,,,,,/,Follow existing script,,"All, to move to COM layer, rename to m_customer_id_mapping_rak",,einv-cust,einv-1a-5,NTT,,
NTT,,Data Lake - CUR,"REF_CUSTOMER_ID_MAPPING_RAK_H
*to move to COM layer, rename to m_customer_id_mapping_rak_h",,,,,,,,"Partition: LOG_PERIOD (end_timestamp in YYYYMM)
*To add new field end_timestamp = <current timestamp> for records inserted to history table",,"All, with partition, to move to COM layer, rename to m_customer_id_mapping_rak_h",,einv-cust,einv-1a-5,NTT,,Update from com_m_rak_customer.sql file
KIBB,,Data Lake - CUR,REF_HOLIDAY,,,,,,,/,follow existing script,,All,,irem-ref,irem-6b,KIBB,,
NTT/KIBB (by source),Michael,Data Lake - CUR,REF_LOOKUP,,,,,,,/,Follow existing script,,All,,"irem-acc (general); irem-acc-bank (general); irem-ref (general, mhbos); irem-acc-lob (general);einv-acc;einv-ref (general);einv-agent-profile (general);einv-trx (toms);ailab-dm",irem-2b,NTT/KIBB (by source),,
0,,Data Lake - CUR,REF_LOOKUP_H,,,,,,,,Partition: LOG_PERIOD (renamed from END_PERIOD),,"All, with partition",,irem-ref,irem-2b,,,
NTT,Aiqal,Data Lake - CUR,TRADER_AGGREGATE_POSITION_SUMMARY,,,,,,,/,"Model 2B
Partition: year_month (Snapshot_date in YYYYMM)
*add new column Snapshot_Date = etl_dt",,"All, with partition",,irem-acc-trader,irem-2b,NTT,,
NTT,CK,Data Lake - CUR,vw_dim_account_bank_mhbos_nrt,,,,,,,/,N/A,,N/A,,irem-bank-nrt,irem-3,NTT,,
NTT,CK,Data Lake - CUR,vw_iremisier_account_bank_mhbos_nrt,,,,,,,/,N/A,/,N/A,,irem-bank-nrt,irem-3,NTT,,
NTT,Faisal,Data Lake - AILAB,AILAB_COUNTERPARTY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
KIBB,,Data Lake - AILAB,AILAB_DM_ACCOUNT,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_ADDRESS,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_AGENT,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_BRANCH,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_CONTACT,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_CUSTOMER,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_EMPLOYMENT,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_LEDGER_CLIENT_LIMIT,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_LEDGER_POSITION_SUMMARY,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_LEDGER_STOCK_BALANCE,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_LEDGER_TRUST_BALANCE,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_REF_LOOKUP,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_RISK_PROFILE,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_TRADE_MARKET,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_TRADING_CONTRACT,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_DM_TRANSACTION_EVENT,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
NTT,Faisal,Data Lake - AILAB,AILAB_ENTITY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
NTT,Faisal,Data Lake - AILAB,AILAB_LOANPOSITIONCACHE_NEW,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
NTT,Faisal,Data Lake - AILAB,AILAB_LOANSTATUS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
NTT,Faisal,Data Lake - AILAB,AILAB_LOANTRANCHE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
NTT,Faisal,Data Lake - AILAB,AILAB_LOANTRANCHECHILD2,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
NTT,Faisal,Data Lake - AILAB,AILAB_LOANTRANCHETYPE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
KIBB,,Data Lake - AILAB,AILAB_MHBOS_M_CLIENT,,,,,,,,,/,N/A,,ailab-mhbos,ailab-2,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_MHBOS_M_CLIENT_EXT,,,,,,,,,/,N/A,,ailab-mhbos,ailab-2,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_MHBOS_T_CONTRACT,,,,,,,,,/,N/A,,ailab-mhbos,ailab-2,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_MHBOS_T_LEDGER_DT,,,,,,,,,/,N/A,,ailab-mhbos,ailab-2,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_MHBOS_T_LEDGER_HD,,,,,,,,,/,N/A,,ailab-mhbos,ailab-2,KIBB,,
KIBB,,Data Lake - AILAB,AILAB_MHBOS_T_TRUST_ACC,,,,,,,,,/,N/A,,ailab-mhbos,ailab-2,KIBB,,
NTT,Faisal,Data Lake - AILAB,AILAB_RECORDSTATUS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,ailab-lms,ailab-1b,NTT,,Propose to rename the script to prefix AILAB_LMS_ for standardization as per UNL
KIBB,,Data Lake - eInvoice,EINVOICE_ACCOUNT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-acc,einv-1c,KIBB,,
KIBB,,Data Lake - eInvoice,EINVOICE_AGENT_PROFILE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-agent-profile,einv-3,KIBB,,
KIBB,,Data Lake - eInvoice,EINVOICE_CUSTOMER,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-cust,einv-1c,KIBB,,
KIBB,,Data Lake - eInvoice,EINVOICE_CUSTOMER_ADDRESS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-cust,einv-1c,KIBB,,
KIBB,,Data Lake - eInvoice,EINVOICE_CUSTOMER_CONTACT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-cust,einv-1c,KIBB,,
KIBB,,Data Lake - eInvoice,EINVOICE_CUSTOMER_CUSTOM,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-cust,einv-1c,KIBB,,
KIBB,,Data Lake - eInvoice,EINVOICE_CUSTOMER_EINVOICE_INDICATOR,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-cust,einv-1c,KIBB,,
NTT,Faisal,Data Lake - eInvoice,EINVOICE_REF_BRANCH,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-ref,einv-4,NTT,,
NTT,Faisal,Data Lake - eInvoice,EINVOICE_REF_COUNTRY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-ref,einv-4,NTT,,
NTT,Faisal,Data Lake - eInvoice,EINVOICE_REF_CURRENCY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-ref,einv-4,NTT,,
NTT,Faisal,Data Lake - eInvoice,EINVOICE_REF_STATE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-ref,einv-4,NTT,,
NTT,Faisal,Data Lake - eInvoice,EINVOICE_REF_STOCK,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-ref,einv-4,NTT,,
KIBB,,Data Lake - eInvoice,EINVOICE_STAGING_TRANSACTION,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-trx,einv-2d,KIBB,,
KIBB,,Data Lake - eInvoice,EINVOICE_STAGING_TRANSACTION_CN,,,,,,,/,follow existing with etl_dt partition,/,N/A,,einv-trx,einv-2d,KIBB,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_ACCOUNT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_ACCOUNT_BANK,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-bank,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_ACCOUNT_BROKERAGE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-brkg,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_ACCOUNT_CONTRACT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-con,irem-2c,NTT,,
KIBB,,Data Lake - iRemisier,IREMISIER_ACCOUNT_GLLED,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-glled,irem-12,KIBB,"DEV, UAT",
NTT,Faisal,Data Lake - iRemisier,IREMISIER_ACCOUNT_LEDGER,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ledger,irem-5c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_ACCOUNT_LEDGER_DETAIL,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ledger,irem-5c,NTT,,
NTT,CK,Data Lake - iRemisier,IREMISIER_ACCOUNT_FEE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-fee,irem-2c,NTT,"DEV, UAT",
NTT,Faisal,Data Lake - iRemisier,IREMISIER_ACCOUNT_OTHERS_LOB,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-lob,irem-2c,NTT,,
KIBB,,Data Lake - iRemisier,IREMISIER_ACCOUNT_PLEDGOR,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-pledgor,irem-9,KIBB,,
NTT,Aiqal,Data Lake - iRemisier,IREMISIER_ACCOUNT_RELATIONSHIP,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-rel,irem-2c,NTT,,
KIBB,,Data Lake - iRemisier,IREMISIER_ACCOUNT_STOCK_BALANCE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-stock-bal,irem-7,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_CDS_DORMANT_ACCOUNT_NOTICE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-dormant,irem-10,KIBB,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_CRS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-crs,irem-4,NTT,,
KIBB,,Data Lake - iRemisier,IREMISIER_CUSTOMER,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-cust,irem-1c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_CUSTOMER_ADDRESS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-cust,irem-1c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_CUSTOMER_CONTACT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-cust,irem-1c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_CUSTOMER_H,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-cust,irem-1c,KIBB,,Is this being used in iRemisier? 
KIBB,,Data Lake - iRemisier,IREMISIER_EIPO_CLIENT_BALANCE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-eipo,irem-11,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_GUAVA_COMPANY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-guava,irem-13,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_APPLCODE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_BANK,,,,,,,/,"follow existing with etl_dt partition

*Required filter CUR.DL_Record_Status = 'A'",/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_BRANCH,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_BROKER,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_COUNTRY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_FOREX,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_GROUP_CODE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,"DEV, UAT",
KIBB,,Data Lake - iRemisier,IREMISIER_REF_HOLIDAY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_REF_SYSTEM_PARAMETERS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-ref,irem-6c,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_STOCK,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-stock,irem-7,KIBB,,
KIBB,,Data Lake - iRemisier,IREMISIER_STOCK_EXCHANGE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-stock,irem-7,KIBB,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_TRADER_ACCOUNT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_TRADER_ADDRESS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_TRADER_ASSISTANT_CONTACT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader-assistant,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_TRADER_ASSISTANT_PROFILE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader-assistant,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_TRADER_BUSINESSDONE_SUMMARY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader-sum,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_TRADER_CONTACT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader,irem-2c,NTT,,
NTT,Aiqal,Data Lake - iRemisier,IREMISIER_TRADER_CPE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader-cpe,irem-2c,NTT,,
NTT,Aiqal,Data Lake - iRemisier,IREMISIER_TRADER_POSITION_SUMMARY,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader-sum,irem-2c,NTT,,
NTT,Faisal,Data Lake - iRemisier,IREMISIER_TRADER_PROFILE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-acc-trader-profile,irem-2c,NTT,,
KIBB,,Data Lake - iRemisier,IREMISIER_TRANSACTION_REQUEST,,,,,,,/,follow existing with etl_dt partition,/,N/A,,irem-trx,irem-8,KIBB,,
KIBB,,Data Lake - Reach,REACH_ADVISOR_PROFILE,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - Reach,REACH_BRANCH,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - Reach,REACH_INVESTOR,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - Reach,REACH_INVESTOR_ACCOUNT,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - Reach,REACH_INVESTOR_ADDRESS,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - Reach,REACH_INVESTOR_BANK,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - Reach,REACH_REF_BRANCH,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,,Data Lake - Reach,REACH_REF_MASTER,,,,,,,/,follow existing with etl_dt partition,/,N/A,,reach,reach-1b,KIBB,"DEV, UAT",
KIBB,Tharisini,General,GENERAL_REFERENCE_LOOKUP,/,/,/,"Model 1
Key: source_name, reference_type, reference_code",,,,,,"RAW: All
COM_T: All from COM_R",cur.ref_lookup,irem-acc;einv-trx,irem-1a,KIBB,,
KIBB,,Data Lake - AILAB,ailab_dm_log_field_value_change,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,Data Lake - AILAB,ailab_dm_margin_position,,,,,,,,,/,N/A,,ailab-dm,ailab-3c,KIBB,,
KIBB,,General,GENERAL_COUNTRY.txt,/,/,/,"Model 1
Key: country_code",,,,,,"RAW: All
COM_T: All from COM_R",,other,other-9,KIBB,"DEV, UAT",
NTT,,General,GENERAL_bank.txt,/,/,/,"Model 1
Key: bank_code",,,,,,"RAW: All
COM_T: All from COM_R",cur.ref_bank,irem-ref; irem-acc-bank,irem-2a,NTT,,
KIBB,,Lookup,lookup_clientno_custname.csv,/,/,/,"Model 1
Key: source_system, client_no",,,,,,"RAW: All
COM_T: All from COM_R",com.t_mhbos_m_client,irem-acc;irem-cust,irem-1a,KIBB,,
KIBB,,Lookup,lookup_custname_custname.csv,/,/,/,"Model 1
Key: source_system, cust_name",,,,,,"RAW: All
COM_T: All from COM_R",com.t_mhbos_m_client,irem-acc;irem-cust,irem-1a,KIBB,,
KIBB,,Lookup,lookup_custname_primaryidno.csv,/,/,/,"Model 1
Key: source_system, cust_name",,,,,,"RAW: All
COM_T: All from COM_R","com.t_mhbos_m_client;
com.t_m21_customer;
com.t_m21_a_customer;
com.t_m21_o_customer",irem-acc;irem-cust,irem-1a,KIBB,,
KIBB,,Lookup,lookup_primaryidno_newcustname.csv,/,/,/,"Model 1
Key: source_system, primary_id_no",,,,,,"RAW: All
COM_T: All from COM_R","com.t_mhbos_m_client;
com.t_m21_customer;
com.t_m21_a_customer;
com.t_m21_o_customer;
com.t_sbl_tbl_einvoicing_clientdata",irem-acc;irem-cust,irem-1a,KIBB,,
